papel;cotacao;pl;pvp;psr;dy;pa;pcg;pebit;pacl;evebit;evebitda;mrgebit;mrgliq;roic;roe;liqc;liq2m;patrliq;divbpatr;c5y;ranking_pl;ranking_roe;ranking_psr;ranking_dy;soma_ranking;ranking_final
SYNE3;4.1;0.51;0.4;0.271;0.1278;0.149;1.02;0.42;-0.8;0.82;0.79;0.6505;0.5652;0.39990000000000003;0.7934;6.61;1286880.0;1550460000.0;0.67;0.3715;1.0;9.0;46.0;38.0;94.0;1
JBSS3;19.86;2.25;0.99;0.116;0.1013;0.214;1.67;1.42;-0.59;3.91;2.98;0.08199999999999999;0.0541;0.1975;0.4422;1.46;199939000.0;44282100000.0;2.14;0.2274;6.0;31.0;18.0;60.0;115.0;2
PETR4;25.42;1.76;0.91;0.517;0.6585;0.339;-488.34;1.1;-0.74;1.84;1.48;0.4706;0.29469999999999996;0.3383;0.5194;1.0;1674940000.0;362594000000.0;0.77;0.1754;3.0;23.0;100.0;2.0;128.0;3
PETR3;28.96;2.01;1.04;0.589;0.578;0.387;-556.35;1.25;-0.84;2.0;1.6;0.4706;0.29469999999999996;0.3383;0.5194;1.0;395030000.0;362594000000.0;0.77;0.1754;5.0;22.0;122.0;3.0;152.0;4
GOAU3;11.85;3.27;0.74;0.149;0.0999;0.164;0.65;0.74;2.58;1.12;0.95;0.20079999999999998;0.1391;0.26780000000000004;0.2275;2.39;1880380.0;16456600000.0;0.77;0.2021;21.0;82.0;27.0;62.0;192.0;5
GOAU4;12.71;3.51;0.8;0.159;0.0931;0.176;0.7;0.79;2.77;1.17;1.0;0.20079999999999998;0.1391;0.26780000000000004;0.2275;2.39;92627200.0;16456600000.0;0.77;0.2021;24.0;81.0;32.0;71.0;208.0;6
TASA3;14.18;2.96;1.66;0.65;0.1075;0.767;3.23;2.12;5.72;2.41;2.32;0.3059;0.2193;0.4559;0.5590999999999999;1.55;567449.0;1083620000.0;0.54;0.4093;18.0;21.0;130.0;55.0;224.0;7
GGBR3;24.65;3.61;0.89;0.501;0.14300000000000002;0.559;2.32;2.49;10.98;2.92;2.49;0.201;0.1393;0.2683;0.24780000000000002;2.32;960104.0;46116200000.0;0.27;0.2021;26.0;75.0;98.0;33.0;232.0;8
TASA4;14.8;3.09;1.73;0.678;0.10300000000000001;0.801;3.37;2.22;5.97;2.5;2.41;0.3059;0.2193;0.4559;0.5590999999999999;1.55;9744800.0;1083620000.0;0.54;0.4093;19.0;20.0;139.0;59.0;237.0;9
MOVI3;7.98;5.2;1.04;0.301;0.1815;0.11;0.82;1.09;-0.21;5.21;3.65;0.2757;0.057999999999999996;0.1547;0.201;1.6;30994400.0;2768680000.0;6.4;0.34850000000000003;72.0;108.0;55.0;17.0;252.0;10
SOND6;32.35;4.85;1.37;0.659;0.2051;0.876;2.79;3.23;4.16;2.01;1.87;0.20420000000000002;0.1358;0.414;0.28309999999999996;2.21;473.42;57907000.0;0.0;0.2259;66.0;61.0;134.0;10.0;271.0;11
GGBR4;28.62;4.19;1.04;0.581;0.1232;0.649;2.69;2.89;12.75;3.32;2.83;0.201;0.1393;0.2683;0.24780000000000002;2.32;317168000.0;46116200000.0;0.27;0.2021;43.0;76.0;117.0;43.0;279.0;12
SOND5;36.0;5.4;1.53;0.733;0.1843;0.975;3.11;3.59;4.63;2.38;2.21;0.20420000000000002;0.1358;0.414;0.28309999999999996;2.21;2490.49;57907000.0;0.0;0.2259;79.0;60.0;146.0;13.0;298.0;13
RAPT3;7.39;5.16;0.89;0.218;0.1164;0.189;0.62;1.78;-1.98;3.46;2.92;0.1225;0.059800000000000006;0.16440000000000002;0.17190000000000003;2.01;109968.0;2744760000.0;1.97;0.2839;71.0;147.0;37.0;49.0;304.0;14
CLSC4;49.13;3.61;0.65;0.184;0.0673;0.158;-9.61;2.83;-0.34;4.51;3.19;0.06509999999999999;0.051;0.0696;0.1791;0.95;223827.0;2933340000.0;0.87;0.0953;27.0;135.0;35.0;114.0;311.0;15
EUCA3;9.7;2.46;0.44;0.348;0.07400000000000001;0.244;1.52;2.03;-3.68;3.15;2.33;0.17129999999999998;0.1177;0.1336;0.1772;1.75;153006.0;2062360000.0;0.3;0.2087;9.0;139.0;63.0;104.0;315.0;16
DEXP4;6.71;4.72;1.14;0.29;0.0605;0.487;1.13;3.14;3.0;3.91;3.47;0.09210000000000002;0.0735;0.1873;0.2403;2.99;49228.9;555602000.0;0.57;0.345;59.0;79.0;52.0;126.0;316.0;17
EUCA4;10.43;2.64;0.47;0.374;0.0758;0.262;1.64;2.19;-3.95;3.3;2.45;0.17129999999999998;0.1177;0.1336;0.1772;1.75;1060900.0;2062360000.0;0.3;0.2087;13.0;140.0;69.0;96.0;318.0;18
CEEB5;36.09;6.04;1.6;0.677;0.1752;0.369;-27.03;2.79;-0.66;6.36;5.18;0.2427;0.1121;0.14400000000000002;0.2651;0.94;176.05;5911000000.0;2.22;0.1232;95.0;71.0;138.0;19.0;323.0;19
ETER3;10.33;4.64;0.94;0.537;0.0971;0.522;1.48;3.97;3.77;3.8;3.34;0.1353;0.11599999999999999;0.15380000000000002;0.20350000000000001;2.52;7545260.0;676188000.0;0.13;0.2737;58.0;100.0;106.0;66.0;330.0;20
