papel;cotacao;pl;pvp;psr;dy;pa;pcg;pebit;pacl;evebit;evebitda;mrgebit;mrgliq;roic;roe;liqc;liq2m;patrliq;divbpatr;c5y
AALR3;22.09;-19.29;2.44;2.393;0.0;0.993;-31.86;86.95;-2.56;108.99;22.38;0.0275;-0.11800000000000001;0.0132;-0.1263;0.86;11052200.0;1072550000.0;0.85;0.0116
ABCB4;18.46;5.22;0.8;0.0;0.0757;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1537;0.0;18664400.0;5205390000.0;0.0;0.2753
ABEV3;13.62;14.84;2.62;2.691;0.055999999999999994;1.555;-78.76;14.0;-12.76;13.25;9.76;0.19219999999999998;0.1868;0.15460000000000002;0.1764;0.93;492712000.0;81955600000.0;0.05;0.1331
AERI3;1.39;-11.49;1.2;0.431;0.0149;0.282;0.84;5.61;-3.64;9.59;7.49;0.07690000000000001;-0.037599999999999995;0.07980000000000001;-0.1048;1.95;11070900.0;884868000.0;2.05;0.057300000000000004
AESB3;10.2;41.01;1.4;2.158;0.0086;0.324;2.09;9.12;-0.72;19.69;11.15;0.2365;0.1125;0.0452;0.0341;2.6;21670900.0;4391180000.0;2.48;0.45530000000000004
AFLT3;8.73;14.69;2.11;7.643;0.0271;1.831;11.46;14.37;19.23;13.82;13.76;0.5318;0.5203;0.1401;0.1438;3.34;3196.15;260732000.0;0.0;0.3044
AGRO3;26.22;21.56;1.31;2.111;0.2004;0.797;4.22;15.38;-63.93;18.6;12.63;0.1373;0.09789999999999999;0.0604;0.060700000000000004;1.99;11150600.0;2051180000.0;0.43;0.3367
AGXY3;9.09;-23.63;1.21;0.145;0.018500000000000003;0.178;1.57;3.27;-5.14;5.7;4.72;0.0443;-0.0060999999999999995;0.1133;-0.0513;1.16;553838.0;1282050000.0;1.52;0.8742
ALLD3;4.98;6.29;0.31;0.086;0.1857;0.124;0.44;2.58;1.71;5.54;3.92;0.0331;0.013600000000000001;0.0729;0.048799999999999996;1.72;146976.0;1512190000.0;0.42;-0.054900000000000004
ALPA3;9.6;53.99;1.14;1.568;0.0;0.771;2.88;12.08;6.35;13.24;10.17;0.1298;0.026000000000000002;0.0754;0.021099999999999997;2.52;120315.0;5758100000.0;0.22;0.020099999999999996
ALPA4;9.97;56.07;1.18;1.628;0.0;0.801;2.99;12.55;6.59;13.71;10.53;0.1298;0.026000000000000002;0.0754;0.021099999999999997;2.52;61417500.0;5758100000.0;0.22;0.020099999999999996
ALPK3;1.46;-1.89;0.68;0.29;0.0;0.12;-0.83;1.47;-0.17;7.46;3.58;0.1972;-0.15259999999999999;0.08990000000000001;-0.3611;0.44;603324.0;459504000.0;3.03;0.4288
ALSO3;17.54;36.01;1.5;9.589;0.0098;0.843;4.36;18.16;-9.05;13.55;10.2;0.5282;0.3209;0.0593;0.0417;3.98;63918500.0;6924050000.0;0.0;0.3165
ALUP11;27.07;8.64;1.14;2.069;0.0454;0.284;2.82;2.66;-0.65;5.67;5.39;0.7792;0.434;0.1195;0.132;2.1;26261200.0;6958060000.0;1.68;0.168
ALUP3;9.0;8.61;1.14;2.064;0.045599999999999995;0.283;2.81;2.65;-0.65;5.66;5.39;0.7792;0.434;0.1195;0.132;2.1;119767.0;6958060000.0;1.68;0.168
ALUP4;8.97;8.59;1.13;2.057;0.045700000000000005;0.282;2.8;2.64;-0.65;5.65;5.38;0.7792;0.434;0.1195;0.132;2.1;185035.0;6958060000.0;1.68;0.168
AMAR3;0.74;-1.23;0.26;0.091;0.0;0.071;0.59;0.92;-0.26;6.46;3.26;0.09910000000000001;-0.0738;0.0947;-0.21109999999999998;1.36;10767900.0;973981000.0;1.76;-0.0147
AMBP3;22.3;27.33;2.44;0.768;0.013600000000000001;0.313;1.15;4.46;-0.84;9.92;6.41;0.172;0.042199999999999994;0.1032;0.0892;2.37;22115500.0;1033460000.0;5.28;1.2466
AMER3;1.1;23.15;0.07;0.035;0.0;0.021;0.08;0.82;-0.1;10.92;4.16;0.0431;0.0015;0.0361;0.0029;2.24;188437000.0;14705600000.0;1.41;0.4703
ANIM3;3.7;-3.99;0.57;0.421;0.0;0.143;7.39;2.27;-0.28;8.21;4.39;0.1857;-0.0876;0.0722;-0.1418;1.11;18225900.0;2638050000.0;1.9;0.3518
APER3;26.01;26.11;1.09;2.313;0.0021;0.659;6.04;6.89;-6.33;5.03;4.07;0.3356;0.0889;0.1192;0.0416;1.6;1239160.0;468023000.0;0.0;0.2419
ARML3;14.34;40.16;4.36;5.914;0.028300000000000002;1.43;6.49;17.6;-4.36;21.24;14.98;0.3361;0.14730000000000001;0.1213;0.1085;2.79;4702110.0;1139270000.0;1.66;2.6972000000000005
ARZZ3;77.62;20.24;3.27;2.13;0.0236;1.928;10.82;17.67;18.18;17.4;13.56;0.12050000000000001;0.10460000000000001;0.14880000000000002;0.1617;1.53;99184300.0;2614130000.0;0.16;0.2738
ASAI3;18.04;19.95;6.25;0.446;0.009000000000000001;0.599;-10.88;6.41;-1.08;8.19;6.49;0.0696;0.022400000000000003;0.1744;0.3131;0.86;196192000.0;3896000000.0;3.23;0.2116
ATOM3;2.8;6.65;2.84;1.857;0.0216;1.902;2.14;7.08;2.93;4.57;4.47;0.2623;0.2793;0.8565;0.42729999999999996;10.55;44439.9;23460000.0;0.0;0.5068
AURA33;35.4;7.28;1.55;1.234;0.0416;0.66;5.55;4.69;-2.83;5.53;5.53;0.26289999999999997;0.16940000000000002;0.1938;0.2125;1.54;3921000.0;1618150000.0;0.69;0.3323
AURE3;14.85;5.55;0.97;2.692;0.0;0.46;7.18;19.22;-1.38;22.64;12.93;0.1401;0.48560000000000003;0.0271;0.1753;1.49;63830400.0;15253100000.0;0.39;1.1018999999999999
AZEV3;1.67;11.14;1.03;0.399;0.0;0.26;-4.01;-1.78;-0.61;-2.21;-3.27;-0.2238;0.0359;-0.162;0.0928;0.83;260464.0;124647000.0;0.38;0.8563
AZEV4;1.64;10.94;1.02;0.392;0.0;0.255;-3.94;-1.75;-0.6;-2.18;-3.22;-0.2238;0.0359;-0.162;0.0928;0.83;702091.0;124647000.0;0.38;0.8563
B3SA3;11.65;16.81;3.51;7.028;0.0447;1.493;9.08;12.75;-6.98;12.25;10.3;0.5511;0.418;0.1716;0.20850000000000002;1.84;512115000.0;20271100000.0;0.6;0.2122
BAHI3;10.61;-2.77;2.39;0.759;0.0;0.396;-1.64;-9.6;-0.54;-15.17;-24.48;-0.0791;-0.287;-0.043;-0.8643000000000001;0.23;48271.4;106101000.0;1.55;0.767
